[ 2025-07-07 19:20:16,321 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:16,344 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:16,367 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:16,389 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:16,411 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:16,435 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:16,466 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:16,503 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:16,519 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
[ 2025-07-07 19:20:16,541 ] [ PARSER_XML ][ INFO ] Creating the export directories : C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1920\1-BTS5900
